PUMA2020,α_bar,A_bar,ρ,q,Π,H_S
1301602,0.8249335,1.0976938,379.60556,444.32956,0.016092531,0.19367374
1301603,0.8400632,1.0483867,347.0153,411.98734,0.008917397,0.18958506
1301604,0.9329876,0.96793324,351.49973,430.94614,0.035024222,0.16344646
1301605,0.9734684,0.90044534,304.91162,382.77023,0.04794538,0.19489442
1301606,1.0743738,0.78504795,268.19687,353.29828,0.04329509,0.2022271
1301607,0.9490541,0.9079066,292.69867,365.88873,0.018607704,0.20450118
1301700,1.036379,0.8247391,243.33965,314.6232,0.016058799,0.270986
1301800,1.1476603,0.6952203,213.95909,292.2359,0.0108636515,0.24368241
1301900,0.7843656,1.0768955,297.22305,347.57562,0.0031221632,0.21436878
1302000,0.9940777,0.85177976,251.28229,321.11438,0.0072413934,0.21935539
1302100,1.1374493,0.7572506,220.85803,293.36115,0.022615004,0.3763685
1302201,0.9546112,0.83040494,242.20628,311.6453,0.008361709,0.19956441
1302202,0.95413893,0.9148389,293.97882,366.57025,0.0059590437,0.1855268
1302301,1.2426902,0.70363986,257.83218,352.86826,0.0550095,0.2418618
1302302,1.1597364,0.690992,219.75414,300.6115,0.02825394,0.26053894
1302400,0.7439814,1.1276789,339.87213,392.0045,0.008746225,0.18772304
1302500,0.80341303,1.1590499,387.19226,444.64517,0.006856873,0.21089041
1302600,1.0270293,0.8295671,257.77048,332.84354,0.003988406,0.19206034
1302700,1.0614445,0.76099265,223.0721,295.0865,0.005036743,0.1837712
1302800,1.0841976,0.81848276,242.47232,314.17566,0.007955998,0.26794466
1302900,1.0630686,0.86804366,242.41226,307.80432,0.0019398876,0.3120044
1303000,1.2331591,0.66419727,185.77336,256.58035,0.011433713,0.34482828
1303100,1.2448468,0.5696275,160.35457,226.06738,0.0028966628,0.3426718
1303200,0.90003455,1.0470437,304.21402,361.4464,0.008110196,0.25528085
1303301,1.2427496,0.62631315,196.20105,276.9695,0.036452338,0.21735704
1303302,1.2499491,0.6318469,195.59761,275.63202,0.008376587,0.22550428
1303400,1.1607661,0.85070133,248.11351,319.37146,0.0015837167,0.27137023
1303500,1.3702512,0.6000267,180.17351,256.8947,0.0066537773,0.32920578
1303600,1.0406075,0.89425457,233.7055,293.05063,0.017569296,0.3183226
1303700,1.1997191,0.6759347,168.17679,229.68843,0.0073161675,0.36310846
1303800,1.3099254,0.6953738,195.0324,267.29797,0.049023893,0.43859786
1303900,1.2629589,0.7123765,196.69589,267.62256,0.00431767,0.24163918
1304000,1.2017864,0.7314406,198.32158,267.21228,0.0050105606,0.23768839
1304100,1.1701217,0.73674864,188.88141,253.95471,0.0062390454,0.23696308
1304200,1.2923764,0.6613026,180.37555,251.04376,0.0066957218,0.28940043
1304300,1.3190057,0.66730297,194.13957,271.91586,0.013159421,0.24811396
1304400,1.426178,0.62603146,186.45932,266.00946,0.0061210487,0.37787232
1304500,1.1710577,0.78559136,205.81377,271.9191,0.0057623787,0.3004132
1304600,1.1838212,0.78137475,215.5457,286.03238,0.001656495,0.23959641
1304701,1.1074605,0.89883775,244.51091,307.6836,0.018043855,0.30137452
1304702,0.90576816,1.0422932,262.12375,308.19904,0.00327902,0.23652843
1304800,1.0549064,0.8803374,214.82033,267.98,0.009470443,0.29810804
1600100,1.3317527,0.75840974,201.88881,272.38895,0.0035141676,0.29532626
1600200,1.2918956,0.8387459,229.78746,304.93872,0.017367218,0.33974758
1600300,1.2277474,0.7515022,156.99152,204.10931,0.007330276,0.30132642
1600400,1.2275282,1.005179,315.1374,395.3578,0.0016733366,0.21909074
1600500,1.61431,0.77810055,298.95157,411.409,0.0018101181,0.21661821
1600600,1.3579524,0.9042585,300.33896,391.11728,0.0014557524,0.24336223
1600701,1.14333,1.1443399,393.72366,475.619,0.006605649,0.1944366
1600702,1.1477033,1.0523901,330.8057,409.07565,0.012129608,0.17876945
1600800,1.2168314,1.00794,320.54575,401.772,0.014175261,0.20704685
1600900,1.4737715,0.78039706,259.2672,355.78674,0.0025169542,0.2103506
