puma_2020,AAL_2020,AAL_2050
606712,3.571167,4.16122
606713,2.218323,2.58485
606714,1.832278,2.13502
606715,1.86824,2.176923
606716,1.673995,1.950584
606717,50.80802,59.20287
607101,43.70335,44.52533
607102,.8084507,.823656
607103,.4732997,.4822015
607104,2.796307,2.848899
607105,.2303303,.2346624
607107,.0698779,.0711922
607108,.0852453,.0868486
607110,.0498901,.0508285
607111,.1013786,.1032854
607112,.0600866,.0612167
607115,.0695003,.0708075
607116,.1020911,.1040112
607117,.0559336,.0569856
607118,.1233242,.1256437
607119,.185285,.1887698
607301,.9770396,1.246005
607302,10.40004,13.26303
607306,.3960997,.5051405
607307,.9553706,1.218371
607308,.2546185,.3247115
607310,.1621185,.2067475
607311,.1502527,.1916152
607312,.1606121,.2048264
607313,.151523,.1932352
607314,.2268789,.2893356
607315,.1244469,.1587054
607316,.0651907,.0831369
607317,.0609544,.0777343
607322,.1779775,.2269723
607323,.1769556,.225669
607324,.1599792,.2040192
607325,.177591,.2264794
607326,.340997,.4348688
607327,.0648407,.0826904
607328,.838513,1.069344
607329,.221911,.283
607330,.0900075,.1147853
607507,.3415251,.3882435
607508,.3310528,.3763387
607509,.1352638,.1537669
607510,.1793366,.2038686
607511,.1947535,.2213944
607512,.2158693,.2453988
607513,.3343846,.3801262
607514,.1250297,.142133
607705,2.743144,2.908952
607706,2.823123,2.993765
607707,13.75125,14.58243
607708,57.28832,60.75107
607709,6.408514,6.795872
607901,4.581593,4.969179
607902,21.65918,23.49146
608101,4.93596,9.173146
608102,5.116974,9.509549
608103,3.690392,6.858343
608104,56.64659,105.2738
608105,6.296162,11.70099
608106,11.71194,21.76585
608301,.3139017,.3283167
608302,20.75911,21.71241
608303,3.065741,3.206527
608505,.9612832,1.478396
608506,27.94772,42.98191
608507,3.454746,5.313191
608508,.5152899,.7924849
608510,.6405621,.985146
608511,.4301551,.6615527
608512,1.294734,1.991222
608515,2.354785,3.621518
608516,.5687854,.8747578
608517,.6063548,.9325373
608518,.7072922,1.087773
608519,1.511737,2.32496
608520,1.103439,1.697023
608521,.4504778,.6928078
608522,.8609239,1.324049
608701,10.48042,10.96465
608702,1.022063,1.069286
608900,54.88756,62.78433
609501,1.425345,1.614997
609502,4.415562,5.003081
609503,11.20899,12.70042
609702,5.739471,6.183366
609704,48.4669,52.21535
609705,2.031919,2.189069
609706,11.54722,12.44029
609901,13.33996,15.20999
609902,.4917941,.5607353
609903,12.27328,13.99378
609904,.3636395,.4146156
610100,24.5344,26.73044
610701,1.155217,1.29135
610702,3.420068,3.823094
610703,36.38419,40.67176
611102,2.10847,2.315641
611103,.6898241,.7576037
611104,1.208008,1.326702
611107,34.84977,38.27398
611108,2.085918,2.290873
611109,4.810157,5.282786
611301,35.82817,40.91098
611302,7.187312,8.20695
800100,33.7399,33.93176
800200,16.15005,15.539
800301,7.444054,7.843148
800302,.3070433,.3235047
800303,.3524454,.3713409
800401,30.77879,31.86821
800501,2.468766,2.5625
800502,1.406781,1.460193
800601,2.298432,2.174118
800701,.6001022,.6254244
800702,.5470914,.5701767
800703,.6632611,.6912482
800801,.9788713,1.019008
800901,.6409466,.6499164
800902,.1296327,.1314469
801001,1.482354,1.480099
801002,.0199112,.0198809
801003,.4593127,.458614
801101,.2769089,.2857879
801201,.8580994,.8824793
801202,.3786577,.3894159
801301,.1632096,.1727617
801401,11.05894,11.60157
801501,.315102,.33356
801601,.1515323,.1616581
801602,.3917631,.4179419
801603,.297337,.317206
801701,.4869176,.5105571
801702,1.975722,2.071642
801703,.5444309,.5708627
801704,.3832489,.4018553
801705,.6062115,.6362752
801800,3.419371,3.588504
801900,5.65182,5.941563
802001,22.82212,22.55555
802002,2.549446,2.523045
802003,.6606165,.6537754
802004,.373867,.3699953
802005,.4947874,.4896636
802006,.7278007,.7202639
802101,12.50993,13.23636
802200,23.90954,24.43141
802301,1.98772,2.021962
802401,9.420641,9.485594
802501,.0785751,.0743901
920100,58.25073,65.44611
920201,2.955063,3.390674
920202,32.61544,37.42334
920203,10.03894,11.31866
920204,7.958176,9.119651
920205,15.10054,17.32654
920206,14.21555,16.31109
920207,31.50047,36.14401
920301,24.70428,26.11741
920401,10.56989,11.55555
920402,32.39149,35.35992
920500,32.59212,37.21273
920601,3.363095,4.091456
920602,16.08295,19.56611
920603,17.00158,20.68369
920604,29.19684,35.52015
920701,5.0516,6.145649
920702,27.34897,32.20978
920703,25.52755,31.48438
920801,1.800179,2.409825
920802,13.97365,18.70595
920901,9.578608,12.82248
920902,16.518,22.11197
920903,4.788758,6.410513
920904,25.98516,33.64028
1000101,1.655127,3.152503
1000102,.6195795,1.180106
1000103,1.0031,1.910594
1000104,1.009364,1.922523
1000105,5.009466,9.541472
1000200,9.700318,13.88706
1000301,35.82537,49.85025
1000302,73.03674,101.6291
1100101,4.913346,5.846998
1100102,3.78297,4.501823
1100103,3.070137,3.653536
1100104,4.390463,5.224755
1100105,1.150432,1.369041
