year,RCP26,RCP45,RCP60
2020,0.339321357285428,0.339321357285429,0.349301397205589
2030,0.449101796407186,0.479041916167664,0.548902195608782
2040,0.548902195608783,0.678642714570858,0.818363273453093
2050,0.648702594810379,0.848303393213573,1.03792415169661
2060,0.768463073852295,1.19760479041916,1.27744510978044
2070,0.778443113772455,1.2375249500998,1.54690618762475
2080,0.698602794411177,1.50698602794411,1.9560878243513
2090,0.728542914171657,1.72654690618762,2.17564870259481
2100,0.698602794411177,1.86626746506986,2.32534930139721
2150,0.568862275449101,2.32534930139721,3.28343313373254
2200,0.59880239520958,2.50499001996008,3.7125748502994
2250,0.469061876247505,2.6746506986028,3.96207584830339
2300,0.419161676646706,2.93413173652695,4.19161676646707
2350,0.319361277445108,3.06387225548902,4.31137724550898
2400,0.439121756487026,3.22355289421158,4.50099800399202
2450,0.409181636726546,3.29341317365269,4.53093812375249
2500,0.34930139720559,3.38323353293413,4.58083832335329
