year,SST
2000,0.154903640476643
2010,0.351928130893697
2020,0.642961078310174
2030,0.954895433117718
2040,1.33992315860208
2050,1.75628247677574
2060,2.22486111609822
2070,2.6934397554207
2080,3.16203207367473
2090,3.67238616991627
2100,4.13052094500899
