year,SST,
2000,0.134002233085574,
2010,0.351928130893697,
2020,0.590741757161347,0
2030,0.777349741211715,0.186607984050368
2040,0.922168589411482,0.331426832250135
2050,0.962548795313598,0.371807038152251
2060,0.992485136985951,0.401743379824604
2070,0.970202157509478,0.379460400348131
2080,0.937488992734779,0.346747235573431
2090,0.946537605947598,0.355795848786251
2100,0.945142354930656,0.354400597769309
