PUMA2020,elasticity,q,population,H_S,homeownership_rate,total_owner_occupied_home_value,mean_rent,mean_labour_earnings,mean_labour_earnings_workingage,mean_income,mean_income_workingage,delta_bar,delta_2050
100100,0.65187538,132064.4141966576,162887.1155,298811.8031184145,0.5489138690147823,7.856470035966697e9,629.4306462747822,41516.10591160264,57177.96816133317,62462.11742217097,69072.4112346572,0.7510934898078965,0.7993201657611528
100200,0.71991402,218043.5627394997,101781.7022584713,183194.6752,0.6990050903589056,7.026332990172977e9,681.7592082102943,60455.63649,80917.10343916841,83616.92250669027,97470.81875969375,0.17564598951836785,0.18394011705423194
100300,0.62569809,162665.5158,152242.5004513909,271613.4214,0.6247191189286239,7.801183364036888e9,663.7388610228004,46005.94193038588,61605.19875,72634.54502742621,83582.67057561246,0.5994574905789247,0.6276387194760326
100401,0.9100374,210844.4220811028,75353.06751125888,134472.9122,0.6915570622404408,5.114421207234818e9,676.305015,59357.75517681258,79423.25785497774,82566.55668053625,95938.12901056744,1.0245870171613642,1.1335011453704504
100402,0.48427814,210844.4221587839,153224.3008368097,263175.4926774381,0.6267612221720213,8.480161523e9,839.0440666578434,62520.34388084942,78349.55166341923,81961.32037552074,91798.69724065904,0.21588222148646413,0.23883055888124674
100403,0.44538325,210844.4219248482,122970.5310642633,229216.2698605039,0.5233136482468086,9.805054498497074e9,862.5647178797776,56898.55518937508,83782.04402673221,88189.86897296707,100079.0761425512,0.08458832355922964,0.093580050024608
100501,0.92579132,169048.6837709561,117913.8922323754,199373.1938,0.6477487539588127,7.164626852693781e9,644.2615925479518,52899.04473882985,70635.72964682357,76389.51500781899,86925.80840633225,0.7129699699880114,0.7649132618750275
100600,0.6573749264496751,138339.8322069873,124846.9656711656,212004.9457268101,0.6633581638520313,5.325599518353236e9,502.0362054665389,32820.88372297653,47862.04420697047,55629.14976653579,63578.82184027573,0.6506263310373172,0.6795166947927578
100700,0.5915643,147553.0002229486,135951.9650934289,249392.2528981445,0.5641541666202602,6.117126284335557e9,572.8584496303844,35767.52092592725,51040.38070843137,54812.98248669825,63581.16820857198,2.2518361876676334,2.732816645585027
100800,0.78679645,125682.8752618009,114279.5187344919,204747.5698671141,0.5475982271095639,4.469477162280029e9,647.6995937877437,41802.00201226631,51673.31670812471,60217.18714025291,62766.41753794323,1.0319028457193673,1.1661051711380945
