GEOID,scenario,period,HDD,CDD,midyear,SST
605919,RCP45,1985-2015,701.9104473766935,535.5103393682683,2000,0.0
605920,RCP45,1985-2015,691.5187377929688,538.4140014648438,2000,0.0
605921,RCP45,1985-2015,891.6700330462759,458.86547410140685,2000,0.0
605922,RCP45,1985-2015,617.0717348466718,566.9630661159267,2000,0.0
605923,RCP45,1985-2015,615.7913750755228,565.5439369393464,2000,0.0
605924,RCP45,1985-2015,729.4002172170674,511.4735916611615,2000,0.0
605925,RCP45,1985-2015,681.4663290431561,534.2869733947784,2000,0.0
605926,RCP45,1985-2015,913.4276123046875,423.8886413574219,2000,0.0
605927,RCP45,1985-2015,945.9426194071762,425.94880697559864,2000,0.0
605928,RCP45,1985-2015,752.8616940419502,550.1906938082442,2000,0.0
606101,RCP45,1985-2015,1174.8510994728629,853.8607537830056,2000,0.0
606102,RCP45,1985-2015,1254.7177041104524,803.3434814628388,2000,0.0
606103,RCP45,1985-2015,2319.237795697682,422.1051972666267,2000,0.0
606501,RCP45,1985-2015,736.2568377640928,1737.443872828512,2000,0.0
606502,RCP45,1985-2015,1498.1737913060854,545.1727333363865,2000,0.0
606507,RCP45,1985-2015,1588.8344887383723,462.17313935379565,2000,0.0
606509,RCP45,1985-2015,952.3395280950815,571.7152865359155,2000,0.0
606511,RCP45,1985-2015,868.0459464614919,589.7267967697125,2000,0.0
606514,RCP45,1985-2015,988.345906144689,523.2782010318936,2000,0.0
606515,RCP45,1985-2015,1385.9176681928766,740.8779348274531,2000,0.0
606516,RCP45,1985-2015,913.7967294476551,447.6340061736019,2000,0.0
606517,RCP45,1985-2015,1110.6419643746929,431.493299159758,2000,0.0
606518,RCP45,1985-2015,978.702860330117,625.9074977284997,2000,0.0
606519,RCP45,1985-2015,981.1709255307168,648.8411330736013,2000,0.0
606520,RCP45,1985-2015,989.8590132093454,646.9497325444763,2000,0.0
606521,RCP45,1985-2015,880.6310009891921,552.6057780561928,2000,0.0
606522,RCP45,1985-2015,905.7354736328125,478.5573425292969,2000,0.0
606523,RCP45,1985-2015,1394.0293510817091,405.79843160329267,2000,0.0
606524,RCP45,1985-2015,1003.8030214646496,519.9888704145235,2000,0.0
606525,RCP45,1985-2015,1259.4931400733958,512.2079218617461,2000,0.0
606701,RCP45,1985-2015,1203.1332606551584,815.3174668964851,2000,0.0
606703,RCP45,1985-2015,1200.5078331749996,815.4890485685186,2000,0.0
606704,RCP45,1985-2015,1199.392333984375,815.5619506835938,2000,0.0
606705,RCP45,1985-2015,1190.7870988826107,765.214700039137,2000,0.0
606706,RCP45,1985-2015,1199.392333984375,815.5619506835938,2000,0.0
606707,RCP45,1985-2015,1197.5273071054312,804.6501075296999,2000,0.0
606709,RCP45,1985-2015,1174.894123499524,774.4077730201014,2000,0.0
606712,RCP45,1985-2015,1245.16650390625,812.5704345703125,2000,0.0
606713,RCP45,1985-2015,1202.5669905208931,815.3544748036525,2000,0.0
606714,RCP45,1985-2015,1191.919813590935,811.6707044308571,2000,0.0
606715,RCP45,1985-2015,1170.7269287109375,800.6347045898438,2000,0.0
606716,RCP45,1985-2015,1170.7269287109375,800.6347045898438,2000,0.0
606717,RCP45,1985-2015,1161.3219537602977,704.4208932466703,2000,0.0
607101,RCP45,1985-2015,1084.7884079859246,1301.177621806191,2000,0.0
607102,RCP45,1985-2015,1469.4741049751854,464.2621841412464,2000,0.0
607103,RCP45,1985-2015,1797.537903473912,335.3256241418874,2000,0.0
607104,RCP45,1985-2015,1885.3768696153031,335.91285180662965,2000,0.0
607105,RCP45,1985-2015,2013.5609116246055,286.7484785400183,2000,0.0
607107,RCP45,1985-2015,1490.634722871138,417.5401915800032,2000,0.0
607108,RCP45,1985-2015,1020.5170288085938,609.88623046875,2000,0.0
607110,RCP45,1985-2015,1027.8697940699135,604.3458239007634,2000,0.0
607111,RCP45,1985-2015,1390.5288081088627,331.07742597011895,2000,0.0
607112,RCP45,1985-2015,1403.8629150390625,321.0299987792969,2000,0.0
607115,RCP45,1985-2015,1115.596372756814,538.2426782854961,2000,0.0
607116,RCP45,1985-2015,1163.6318300507828,551.3316058014574,2000,0.0
607117,RCP45,1985-2015,1020.5170288085938,609.88623046875,2000,0.0
607118,RCP45,1985-2015,1338.4197368452112,341.7256866103709,2000,0.0
607119,RCP45,1985-2015,965.7027529321458,458.3468573478947,2000,0.0
607301,RCP45,1985-2015,664.5583492931827,588.6088960077261,2000,0.0
607302,RCP45,1985-2015,1187.9107603450811,639.759949128984,2000,0.0
607306,RCP45,1985-2015,951.1946359173846,513.9033389412374,2000,0.0
607307,RCP45,1985-2015,1073.284870979057,509.54050878414495,2000,0.0
607308,RCP45,1985-2015,800.6682969049389,527.8156733470354,2000,0.0
607310,RCP45,1985-2015,593.9166034630505,537.6651808097504,2000,0.0
607311,RCP45,1985-2015,651.6590996630113,531.8520241027559,2000,0.0
607312,RCP45,1985-2015,653.7963543837749,532.6694132856096,2000,0.0
607313,RCP45,1985-2015,896.1787417768476,548.9085452287079,2000,0.0
607314,RCP45,1985-2015,676.9153086485052,534.8020298000313,2000,0.0
607315,RCP45,1985-2015,654.7091064453125,533.0184936523438,2000,0.0
607316,RCP45,1985-2015,589.7215042367789,557.4523819904277,2000,0.0
607317,RCP45,1985-2015,619.5064724630431,546.253898540328,2000,0.0
607322,RCP45,1985-2015,723.1144218591796,530.0399232525602,2000,0.0
607323,RCP45,1985-2015,780.3601412285911,549.9506619423673,2000,0.0
607324,RCP45,1985-2015,658.7797859427943,579.859302792008,2000,0.0
607325,RCP45,1985-2015,802.504638671875,540.9590454101562,2000,0.0
607326,RCP45,1985-2015,732.4438662629912,546.605055918637,2000,0.0
607327,RCP45,1985-2015,574.1143798828125,563.3203125,2000,0.0
607328,RCP45,1985-2015,1070.9384040080324,457.7926410140279,2000,0.0
607329,RCP45,1985-2015,829.7576164675701,506.22028548547405,2000,0.0
607330,RCP45,1985-2015,574.1143798828125,563.3203125,2000,0.0
607507,RCP45,1985-2015,1218.1616708149481,55.351621273020626,2000,0.0
607508,RCP45,1985-2015,1384.1776953883111,38.03438031653509,2000,0.0
607509,RCP45,1985-2015,1184.074462890625,90.66960906982422,2000,0.0
607510,RCP45,1985-2015,1184.6148511257973,90.10970914672933,2000,0.0
607511,RCP45,1985-2015,1201.3314440560564,72.78953360094211,2000,0.0
607512,RCP45,1985-2015,1218.3994831947184,72.49145646460467,2000,0.0
607513,RCP45,1985-2015,1210.657403720505,54.98133139567239,2000,0.0
607514,RCP45,1985-2015,1184.074462890625,90.66960906982422,2000,0.0
607705,RCP45,1985-2015,1162.00939315929,748.1263231768894,2000,0.0
607706,RCP45,1985-2015,1161.768059189719,693.0171197365554,2000,0.0
607707,RCP45,1985-2015,1188.6575481806142,645.9757426725599,2000,0.0
607708,RCP45,1985-2015,1184.8069133254128,710.0422086408155,2000,0.0
607709,RCP45,1985-2015,1188.1824019606186,668.9276228820667,2000,0.0
607901,RCP45,1985-2015,1102.2093777825999,76.45265832003808,2000,0.0
607902,RCP45,1985-2015,1336.9031752536062,168.35528850328527,2000,0.0
608101,RCP45,1985-2015,1212.6299163355948,54.85314136757358,2000,0.0
608102,RCP45,1985-2015,1219.045166015625,54.43622589111328,2000,0.0
608103,RCP45,1985-2015,1219.045166015625,54.43622589111328,2000,0.0
608104,RCP45,1985-2015,1226.6742981978814,74.66569868893015,2000,0.0
608105,RCP45,1985-2015,1204.3295456337526,82.1834265628289,2000,0.0
608106,RCP45,1985-2015,1253.4839720746559,88.1907512131257,2000,0.0
608301,RCP45,1985-2015,1033.7913818359375,88.71788787841797,2000,0.0
608302,RCP45,1985-2015,1641.4333269981053,41.65499985890951,2000,0.0
608303,RCP45,1985-2015,984.4384277687619,93.87853079098981,2000,0.0
608505,RCP45,1985-2015,1269.732151957525,189.2001079238891,2000,0.0
608506,RCP45,1985-2015,1738.1465588906472,158.37612946589607,2000,0.0
608507,RCP45,1985-2015,1513.6772969520073,57.220957829445474,2000,0.0
608508,RCP45,1985-2015,1218.6539914653636,183.47722815442833,2000,0.0
608510,RCP45,1985-2015,1213.13623046875,198.15847778320312,2000,0.0
608511,RCP45,1985-2015,1279.0654885513034,172.03260913251057,2000,0.0
608512,RCP45,1985-2015,1453.016524037404,127.2923611235037,2000,0.0
608515,RCP45,1985-2015,1300.5554561807037,81.07588263477719,2000,0.0
608516,RCP45,1985-2015,1248.0508935205132,105.26012928965811,2000,0.0
