State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,State20,PUMA20,GEOID20,GISJOIN20,State20_Name,PUMA20_Name,PUMA10_Pop10,PUMA20_Pop10,Part_Pop10,pPUMA10_Pop10,pPUMA20_Pop10,PUMA10_Pop20,PUMA20_Pop20,Part_Pop20,pPUMA10_Pop20,pPUMA20_Pop20,PUMA10_Land,PUMA20_Land,Part_Land,pPUMA10_Land,pPUMA20_Land
44,00104,4400104,G44000104,Rhode Island,Providence County (Southeast)--Cranston & East Providence Cities,44,00107,4400107,G44000107,Rhode Island,Central Providence County--Providence Inner Ring,"127,424","141,459","80,370",63.07,56.82,"129,856","146,616","82,666",63.66,56.38,"107,650,820","148,817,815","73,301,756",68.09,49.26
44,00201,4400201,G44000201,Rhode Island,Central Rhode Island--Kent County--Warwick City,44,00105,4400105,G44000105,Rhode Island,Northern Providence County & Woonsocket City,"166,158","169,748",0,0,0,"170,363","177,865",0,0,0,"436,561,498","804,117,329",64,0,0
44,00201,4400201,G44000201,Rhode Island,Central Rhode Island--Kent County--Warwick City,44,00107,4400107,G44000107,Rhode Island,Central Providence County--Providence Inner Ring,"166,158","141,459",1,0,0,"170,363","146,616",5,0,0,"436,561,498","148,817,815","9,668",0,0.01
44,00201,4400201,G44000201,Rhode Island,Central Rhode Island--Kent County--Warwick City,44,00200,4400200,G44000200,Rhode Island,Central Rhode Island (Kent County)--Warwick City,"166,158","166,161","166,157",100,100,"170,363","170,363","170,358",100,100,"436,561,498","436,584,631","436,551,766",100,99.99
44,00300,4400300,G44000300,Rhode Island,Southeast Rhode Island--Newport & Bristol Counties--Newport City,44,00106,4400106,G44000106,Rhode Island,Northeast RI (Providence County)--Pawtucket Central Falls & E Providence Cities,"132,763","137,595",88,0.07,0.06,"136,497","145,326",61,0.04,0.04,"327,869,451","59,946,370","74,899",0.02,0.12
44,00300,4400300,G44000300,Rhode Island,Southeast Rhode Island--Newport & Bristol Counties--Newport City,44,00300,4400300,G44000300,Rhode Island,Southeast Rhode Island (Newport & Bristol Counties)--Newport City,"132,763","132,675","132,675",99.93,100,"136,497","136,436","136,436",99.96,100,"327,869,451","327,794,552","327,794,552",99.98,100
44,00400,4400400,G44000400,Rhode Island,South Rhode Island--Washington County,44,00400,4400400,G44000400,Rhode Island,South Rhode Island--Washington County,"126,979","126,979","126,979",100,100,"129,839","129,839","129,839",100,100,"852,826,979","852,827,573","852,826,979",100,100
45,00101,4500101,G45000101,South Carolina,Pickens & Oconee Counties--Easley & Clemson Cities,37,02400,3702400,G37002400,North Carolina,"Jackson (South), Macon, Cherokee & Clay Counties","193,497","112,222",0,0,0,"209,862","119,986",0,0,0,"2,909,077,147","4,343,955,699","53,197",0,0
45,00101,4500101,G45000101,South Carolina,Pickens & Oconee Counties--Easley & Clemson Cities,37,02500,3702500,G37002500,North Carolina,Henderson & Transylvania Counties,"193,497","139,770",0,0,0,"209,862","149,267",4,0,0,"2,909,077,147","1,945,877,902","168,882",0.01,0.01
45,00101,4500101,G45000101,South Carolina,Pickens & Oconee Counties--Easley & Clemson Cities,45,00101,4500101,G45000101,South Carolina,"Pickens (Southwest Corner) & Oconee (West, Central) Counties--Seneca & Clemson Cities PU","193,497","94,027","94,026",48.59,100,"209,862","103,514","103,512",49.32,100,"2,909,077,147","1,689,792,692","1,689,444,493",58.07,99.98
45,00101,4500101,G45000101,South Carolina,Pickens & Oconee Counties--Easley & Clemson Cities,45,00201,4500201,G45000201,South Carolina,"Pickens (East, Central, North) & Oconee (Northeast) Counties--Easley","193,497","99,573","99,468",51.41,99.89,"209,862","106,497","106,330",50.67,99.84,"2,909,077,147","1,220,049,839","1,219,050,304",41.91,99.92
45,00101,4500101,G45000101,South Carolina,Pickens & Oconee Counties--Easley & Clemson Cities,45,00301,4500301,G45000301,South Carolina,Greenville County (North)--Greer (North & West) & Travelers Rest Cities,"193,497","91,216",3,0,0,"209,862","103,447",17,0.01,0.02,"2,909,077,147","1,015,955,272","352,969",0.01,0.03
45,00101,4500101,G45000101,South Carolina,Pickens & Oconee Counties--Easley & Clemson Cities,45,01001,4501001,G45001001,South Carolina,Abbeville & Anderson (South) Counties--Belton City,"193,497","102,748",0,0,0,"209,862","104,267",0,0,0,"2,909,077,147","2,424,279,930","7,302",0,0
45,00102,4500102,G45000102,South Carolina,Greenville County (North)--Greer City (North & West) & Taylors (Central & East),37,02500,3702500,G37002500,North Carolina,Henderson & Transylvania Counties,"101,998","139,770",7,0.01,0.01,"116,711","149,267",2,0,0,"969,814,203","1,945,877,902","580,900",0.06,0.03
45,00102,4500102,G45000102,South Carolina,Greenville County (North)--Greer City (North & West) & Taylors (Central & East),37,02600,3702600,G37002600,North Carolina,"Rutherford, Cleveland (West) & Polk Counties--Shelby City","101,998","138,300",0,0,0,"116,711","134,839",0,0,0,"969,814,203","2,558,950,286","23,661",0,0
45,00102,4500102,G45000102,South Carolina,Greenville County (North)--Greer City (North & West) & Taylors (Central & East),45,00201,4500201,G45000201,South Carolina,"Pickens (East, Central, North) & Oconee (Northeast) Counties--Easley","101,998","99,573",4,0,0,"116,711","106,497",2,0,0,"969,814,203","1,220,049,839","276,131",0.03,0.02
45,00102,4500102,G45000102,South Carolina,Greenville County (North)--Greer City (North & West) & Taylors (Central & East),45,00301,4500301,G45000301,South Carolina,Greenville County (North)--Greer (North & West) & Travelers Rest Cities,"101,998","91,216","63,915",62.66,70.07,"116,711","103,447","71,855",61.57,69.46,"969,814,203","1,015,955,272","912,508,562",94.09,89.82
45,00102,4500102,G45000102,South Carolina,Greenville County (North)--Greer City (North & West) & Taylors (Central & East),45,00304,4500304,G45000304,South Carolina,Greenville County (Central East)--Greer City (South & West),"101,998","96,396","38,014",37.27,39.44,"116,711","108,194","44,759",38.35,41.37,"969,814,203","145,810,522","56,123,540",5.79,38.49
45,00102,4500102,G45000102,South Carolina,Greenville County (North)--Greer City (North & West) & Taylors (Central & East),45,00402,4500402,G45000402,South Carolina,Spartanburg County (West and South)--Greer & Woodruff Cities,"101,998","89,434",58,0.06,0.06,"116,711","108,517",93,0.08,0.09,"969,814,203","938,956,933","301,409",0.03,0.03
45,00103,4500103,G45000103,South Carolina,Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea,45,00201,4500201,G45000201,South Carolina,"Pickens (East, Central, North) & Oconee (Northeast) Counties--Easley","156,630","99,573",0,0,0,"177,978","106,497",0,0,0,"325,861,103","1,220,049,839","15,905",0,0
45,00103,4500103,G45000103,South Carolina,Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea,45,00301,4500301,G45000301,South Carolina,Greenville County (North)--Greer (North & West) & Travelers Rest Cities,"156,630","91,216","27,297",17.43,29.93,"177,978","103,447","31,569",17.74,30.52,"325,861,103","1,015,955,272","102,326,208",31.4,10.07
45,00103,4500103,G45000103,South Carolina,Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea,45,00302,4500302,G45000302,South Carolina,Greenville County (South & West)--Outside Greenville City,"156,630","90,699","57,880",36.95,63.82,"177,978","100,817","63,996",35.96,63.48,"325,861,103","451,950,629","113,001,586",34.68,25
45,00103,4500103,G45000103,South Carolina,Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea,45,00303,4500303,G45000303,South Carolina,Greenville County (Central)--Greenville & Mauldin Cities,"156,630","86,809","4,372",2.79,5.04,"177,978","100,440","4,694",2.64,4.67,"325,861,103","120,748,029","7,190,131",2.21,5.95
45,00103,4500103,G45000103,South Carolina,Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea,45,00304,4500304,G45000304,South Carolina,Greenville County (Central East)--Greer City (South & West),"156,630","96,396","53,675",34.27,55.68,"177,978","108,194","58,093",32.64,53.69,"325,861,103","145,810,522","80,291,325",24.64,55.07
45,00103,4500103,G45000103,South Carolina,Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea,45,00305,4500305,G45000305,South Carolina,Greenville (South & East)--Outside Greenville & Greer (South) Cities,"156,630","86,164","13,406",8.56,15.56,"177,978","112,636","19,626",11.03,17.42,"325,861,103","301,093,499","23,031,275",7.07,7.65
45,00103,4500103,G45000103,South Carolina,Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea,45,00402,4500402,G45000402,South Carolina,Spartanburg County (West and South)--Greer & Woodruff Cities,"156,630","89,434",0,0,0,"177,978","108,517",0,0,0,"325,861,103","938,956,933","4,481",0,0
45,00103,4500103,G45000103,South Carolina,Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea,45,00901,4500901,G45000901,South Carolina,Anderson (Central & Northeast) County--Anderson City,"156,630","109,691",0,0,0,"177,978","123,746",0,0,0,"325,861,103","696,776,764",192,0,0
45,00104,4500104,G45000104,South Carolina,Greenville County (Central)--Greenville & Mauldin Cities,45,00302,4500302,G45000302,South Carolina,Greenville County (South & West)--Outside Greenville City,"107,007","90,699","8,281",7.74,9.13,"122,011","100,817","8,583",7.03,8.51,"155,608,274","451,950,629","14,593,577",9.38,3.23
45,00104,4500104,G45000104,South Carolina,Greenville County (Central)--Greenville & Mauldin Cities,45,00303,4500303,G45000303,South Carolina,Greenville County (Central)--Greenville & Mauldin Cities,"107,007","86,809","82,437",77.04,94.96,"122,011","100,440","95,746",78.47,95.33,"155,608,274","120,748,029","113,557,898",72.98,94.05
45,00104,4500104,G45000104,South Carolina,Greenville County (Central)--Greenville & Mauldin Cities,45,00304,4500304,G45000304,South Carolina,Greenville County (Central East)--Greer City (South & West),"107,007","96,396","4,704",4.4,4.88,"122,011","108,194","5,340",4.38,4.94,"155,608,274","145,810,522","9,371,820",6.02,6.43
45,00104,4500104,G45000104,South Carolina,Greenville County (Central)--Greenville & Mauldin Cities,45,00305,4500305,G45000305,South Carolina,Greenville (South & East)--Outside Greenville & Greer (South) Cities,"107,007","86,164","11,585",10.83,13.45,"122,011","112,636","12,342",10.12,10.96,"155,608,274","301,093,499","18,084,979",11.62,6.01
45,00105,4500105,G45000105,South Carolina,"Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities",45,00302,4500302,G45000302,South Carolina,Greenville County (South & West)--Outside Greenville City,"152,127","90,699","24,538",16.13,27.05,"176,445","100,817","28,238",16,28.01,"2,430,725,500","451,950,629","324,355,466",13.34,71.77
45,00105,4500105,G45000105,South Carolina,"Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities",45,00305,4500305,G45000305,South Carolina,Greenville (South & East)--Outside Greenville & Greer (South) Cities,"152,127","86,164","61,173",40.21,71,"176,445","112,636","80,668",45.72,71.62,"2,430,725,500","301,093,499","259,977,245",10.7,86.34
45,00105,4500105,G45000105,South Carolina,"Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities",45,00402,4500402,G45000402,South Carolina,Spartanburg County (West and South)--Greer & Woodruff Cities,"152,127","89,434",0,0,0,"176,445","108,517",0,0,0,"2,430,725,500","938,956,933","5,529",0,0
45,00105,4500105,G45000105,South Carolina,"Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities",45,00800,4500800,G45000800,South Carolina,"Laurens, Newberry & Union Counties","152,127","132,892","66,416",43.66,49.98,"176,445","132,502","67,539",38.28,50.97,"2,430,725,500","4,808,956,567","1,846,324,159",75.96,38.39
45,00105,4500105,G45000105,South Carolina,"Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities",45,00901,4500901,G45000901,South Carolina,Anderson (Central & Northeast) County--Anderson City,"152,127","109,691",0,0,0,"176,445","123,746",0,0,0,"2,430,725,500","696,776,764",0,0,0
45,00105,4500105,G45000105,South Carolina,"Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities",45,01001,4501001,G45001001,South Carolina,Abbeville & Anderson (South) Counties--Belton City,"152,127","102,748",0,0,0,"176,445","104,267",0,0,0,"2,430,725,500","2,424,279,930",0,0,0
45,00105,4500105,G45000105,South Carolina,"Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities",45,01100,4501100,G45001100,South Carolina,"Edgefield, Greenwood, McCormick & Saluda Counties","152,127","126,746",0,0,0,"176,445","123,396",0,0,0,"2,430,725,500","4,578,826,064","63,101",0,0
45,00200,4500200,G45000200,South Carolina,Anderson County--Anderson City,45,00101,4500101,G45000101,South Carolina,"Pickens (Southwest Corner) & Oconee (West, Central) Counties--Seneca & Clemson Cities PU","187,126","94,027",1,0,0,"203,938","103,514",1,0,0,"1,852,004,969","1,689,792,692","47,244",0,0
45,00200,4500200,G45000200,South Carolina,Anderson County--Anderson City,45,00201,4500201,G45000201,South Carolina,"Pickens (East, Central, North) & Oconee (Northeast) Counties--Easley","187,126","99,573",101,0.05,0.1,"203,938","106,497",162,0.08,0.15,"1,852,004,969","1,220,049,839","564,099",0.03,0.05
45,00200,4500200,G45000200,South Carolina,Anderson County--Anderson City,45,00302,4500302,G45000302,South Carolina,Greenville County (South & West)--Outside Greenville City,"187,126","90,699",0,0,0,"203,938","100,817",0,0,0,"1,852,004,969","451,950,629",0,0,0
45,00200,4500200,G45000200,South Carolina,Anderson County--Anderson City,45,00901,4500901,G45000901,South Carolina,Anderson (Central & Northeast) County--Anderson City,"187,126","109,691","109,691",58.62,100,"203,938","123,746","123,746",60.68,100,"1,852,004,969","696,776,764","696,776,572",37.62,100
45,00200,4500200,G45000200,South Carolina,Anderson County--Anderson City,45,01001,4501001,G45001001,South Carolina,Abbeville & Anderson (South) Counties--Belton City,"187,126","102,748","77,333",41.33,75.26,"203,938","104,267","80,028",39.24,76.75,"1,852,004,969","2,424,279,930","1,154,617,054",62.34,47.63
45,00301,4500301,G45000301,South Carolina,Spartanburg County (Central)--Spartanburg City,45,00401,4500401,G45000401,South Carolina,Spartanburg County (North)--Landrum City,"115,412","94,325","17,865",15.48,18.94,"126,191","112,848","20,422",16.18,18.1,"315,695,506","708,388,006","49,303,785",15.62,6.96
45,00301,4500301,G45000301,South Carolina,Spartanburg County (Central)--Spartanburg City,45,00402,4500402,G45000402,South Carolina,Spartanburg County (West and South)--Greer & Woodruff Cities,"115,412","89,434","12,762",11.06,14.27,"126,191","108,517","14,991",11.88,13.81,"315,695,506","938,956,933","40,734,441",12.9,4.34
45,00301,4500301,G45000301,South Carolina,Spartanburg County (Central)--Spartanburg City,45,00403,4500403,G45000403,South Carolina,Spartanburg County (Central)--Spartanburg City,"115,412","100,596","84,785",73.46,84.28,"126,191","106,632","90,778",71.94,85.13,"315,695,506","446,331,370","225,657,280",71.48,50.56
45,00302,4500302,G45000302,South Carolina,Spartanburg County (Outside Spartanburg City)--Greer City (East),37,02600,3702600,G37002600,North Carolina,"Rutherford, Cleveland (West) & Polk Counties--Shelby City","168,895","138,300",0,0,0,"201,724","134,839",0,0,0,"1,777,435,263","2,558,950,286","7,317",0,0
45,00302,4500302,G45000302,South Carolina,Spartanburg County (Outside Spartanburg City)--Greer City (East),45,00304,4500304,G45000304,South Carolina,Greenville County (Central East)--Greer City (South & West),"168,895","96,396",2,0,0,"201,724","108,194",2,0,0,"1,777,435,263","145,810,522","23,837",0,0.02
45,00302,4500302,G45000302,South Carolina,Spartanburg County (Outside Spartanburg City)--Greer City (East),45,00401,4500401,G45000401,South Carolina,Spartanburg County (North)--Landrum City,"168,895","94,325","76,460",45.27,81.06,"201,724","112,848","92,426",45.82,81.9,"1,777,435,263","708,388,006","659,082,045",37.08,93.04
45,00302,4500302,G45000302,South Carolina,Spartanburg County (Outside Spartanburg City)--Greer City (East),45,00402,4500402,G45000402,South Carolina,Spartanburg County (West and South)--Greer & Woodruff Cities,"168,895","89,434","76,613",45.36,85.66,"201,724","108,517","93,431",46.32,86.1,"1,777,435,263","938,956,933","897,401,901",50.49,95.57
45,00302,4500302,G45000302,South Carolina,Spartanburg County (Outside Spartanburg City)--Greer City (East),45,00403,4500403,G45000403,South Carolina,Spartanburg County (Central)--Spartanburg City,"168,895","100,596","15,811",9.36,15.72,"201,724","106,632","15,854",7.86,14.87,"1,777,435,263","446,331,370","220,673,883",12.42,49.44
45,00302,4500302,G45000302,South Carolina,Spartanburg County (Outside Spartanburg City)--Greer City (East),45,00501,4500501,G45000501,South Carolina,Union and York (West) Counties--York City,"168,895","108,775",1,0,0,"201,724","116,595",2,0,0,"1,777,435,263","2,110,760,143","150,571",0.01,0.01
45,00302,4500302,G45000302,South Carolina,Spartanburg County (Outside Spartanburg City)--Greer City (East),45,00800,4500800,G45000800,South Carolina,"Laurens, Newberry & Union Counties","168,895","132,892",8,0,0.01,"201,724","132,502",8,0,0.01,"1,777,435,263","4,808,956,567","95,709",0.01,0
45,00400,4500400,G45000400,South Carolina,"Cherokee, Newberry, Chester & Union Counties",37,02600,3702600,G37002600,North Carolina,"Rutherford, Cleveland (West) & Polk Counties--Shelby City","154,951","138,300",0,0,0,"153,465","134,839",0,0,0,"5,484,451,754","2,558,950,286","4,240",0,0
45,00400,4500400,G45000400,South Carolina,"Cherokee, Newberry, Chester & Union Counties",45,00402,4500402,G45000402,South Carolina,Spartanburg County (West and South)--Greer & Woodruff Cities,"154,951","89,434",1,0,0,"153,465","108,517",3,0,0,"5,484,451,754","938,956,933","509,172",0.01,0.05
45,00400,4500400,G45000400,South Carolina,"Cherokee, Newberry, Chester & Union Counties",45,00403,4500403,G45000403,South Carolina,Spartanburg County (Central)--Spartanburg City,"154,951","100,596",0,0,0,"153,465","106,632",0,0,0,"5,484,451,754","446,331,370",207,0,0
45,00400,4500400,G45000400,South Carolina,"Cherokee, Newberry, Chester & Union Counties",45,00501,4500501,G45000501,South Carolina,Union and York (West) Counties--York City,"154,951","108,775","55,342",35.72,50.88,"153,465","116,595","56,213",36.63,48.21,"5,484,451,754","2,110,760,143","1,017,492,277",18.55,48.21
45,00400,4500400,G45000400,South Carolina,"Cherokee, Newberry, Chester & Union Counties",45,00602,4500602,G45000602,South Carolina,York County (East & South)--Fort Mill Town,"154,951","99,118",0,0,0,"153,465","108,190",0,0,0,"5,484,451,754","459,552,971","3,369",0,0
45,00400,4500400,G45000400,South Carolina,"Cherokee, Newberry, Chester & Union Counties",45,00700,4500700,G45000700,South Carolina,"Chester, Fairfield & Lancaster Counties","154,951","133,758","33,140",21.39,24.78,"153,465","149,258","32,294",21.04,21.64,"5,484,451,754","4,703,507,396","1,503,905,790",27.42,31.97
45,00400,4500400,G45000400,South Carolina,"Cherokee, Newberry, Chester & Union Counties",45,00800,4500800,G45000800,South Carolina,"Laurens, Newberry & Union Counties","154,951","132,892","66,468",42.9,50.02,"153,465","132,502","64,955",42.33,49.02,"5,484,451,754","4,808,956,567","2,962,536,699",54.02,61.6
