T2020PUMA_GISMATCH,gamma01b_units_FMM_agg_eq20,gamma01b_units_FMM_agg_eq21
603775,0.18673284,0.20019671
603776,0.12347863,0.12490787
603778,0.15386823,0.15540656
603779,0.13668765,0.13750948
603780,0.16253777,0.16508645
603781,0.17189123,0.1719556
603782,0.18535203,0.18560167
604103,0.37541908,0.41591102
604104,0.28744817,0.30988941
604701,0.72986364,0.78651601
604702,0.57277077,0.63237232
605301,0.35604119,0.44527623
605302,0.33149594,0.36510497
605303,0.49601009,0.58515924
605500,0.2698597,0.31337032
605906,0.12336133,0.13255741
605907,0.13428563,0.13542992
605908,0.16395183,0.16439354
605909,0.15942967,0.15949616
605912,0.16112967,0.16121282
605913,0.15463507,0.15468305
605914,0.14526066,0.14565305
605916,0.1629969,0.16327809
605917,0.15753628,0.15791754
605918,0.14916632,0.14985317
605919,0.15859598,0.16062979
605920,0.13134331,0.13247199
605921,0.23595482,0.25756046
605922,0.14096875,0.14160152
605923,0.14723724,0.14802241
605924,0.16806908,0.17996311
605925,0.13448259,0.14146382
605926,0.13649313,0.13884215
605927,0.22975509,0.24768083
605928,0.13982113,0.14725561
606101,0.25495479,0.27696893
606102,0.43318927,0.47586769
606103,0.63891393,0.66799593
606501,0.24290204,0.26716724
606502,0.17040053,0.19220744
606507,0.3501513,0.36953732
606509,0.41951242,0.43028262
606511,0.14451437,0.14836608
606514,0.21661744,0.22288027
606515,0.16882263,0.19343854
606516,0.2917313,0.30987117
606517,0.30743825,0.32847285
606518,0.18780538,0.20501332
606519,0.26449594,0.27804631
606520,0.14775872,0.15605032
606521,0.24540277,0.26531109
606522,0.13454798,0.14005265
606523,0.28327572,0.30609673
606524,0.26565832,0.28154993
606525,0.23817119,0.25654429
606701,0.18214954,0.18549435
606703,0.2703687,0.27394304
606704,0.22217773,0.22431436
606705,0.32210964,0.33145809
606706,0.37454769,0.40042236
606707,0.27475885,0.27659133
606709,0.30016071,0.30775481
606712,0.30965492,0.33173031
606713,0.26756427,0.28298098
606714,0.2487354,0.24947098
606715,0.39703315,0.436261
606716,0.35606465,0.36928681
606717,0.85284781,0.87971818
607101,0.44746432,0.46176991
607102,0.28588271,0.31008977
607103,0.35257182,0.36201674
607104,0.48370785,0.49531734
607105,0.22546332,0.24106148
607107,0.15627441,0.16407798
607108,0.11886548,0.12074016
607110,0.083345383,0.085870557
607111,0.1666736,0.17056306
607112,0.12868021,0.13142516
607115,0.13750675,0.14309865
607116,0.15340072,0.16415806
607117,0.10743668,0.11319697
607118,0.14122902,0.14908539
607119,0.24927498,0.26559138
607301,-0.031767022,0.00095578877
607302,0.46778145,0.51813996
607306,0.085708976,0.12970124
607307,0.39120615,0.43843874
607308,0.15424378,0.17494024
607310,0.12453347,0.12815508
607311,0.1182032,0.13392341
607312,0.071327932,0.075170495
607313,0.13560227,0.14491177
607314,0.1359411,0.16080579
607315,0.085152544,0.085935734
607316,0.14880653,0.1517361
607317,0.1119488,0.11441775
607322,0.12824264,0.13965569
607323,-0.017803457,0.0097037787
607324,-0.0078786686,0.0093073016
607325,0.10264839,0.13368034
607326,0.096828863,0.13094431
607327,0.077400863,0.077963106
607328,0.14955187,0.17613977
607329,0.14655437,0.16764018
607330,0.10668027,0.10917
607507,0.13057761,0.1317697
607508,0.14810327,0.14990763
607509,0.23065814,0.23363581
607510,0.23651181,0.2442967
607511,0.14843871,0.1523982
607512,0.14097904,0.14393678
607513,0.11135033,0.11348461
607514,0.16309981,0.16490476
607705,0.2529701,0.27663213
607706,0.25689977,0.26044589
607707,0.04788278,0.094071172
607708,0.33068487,0.42850694
607709,0.2018632,0.24953124
607902,0.97041756,0.97041756
608101,0.18779561,0.20799959
608102,0.13462344,0.14089495
608103,0.15539144,0.16108014
608104,0.22615668,0.26282442
608105,0.1452993,0.15324275
608106,0.21108916,0.23271932
608301,0.01466151,0.055624705
608302,0.29671758,0.42703921
608303,0.34371364,0.38813213
608505,0.030532792,0.055220947
608506,0.1726729,0.22018135
608507,0.11114056,0.13986403
608508,0.039467797,0.039799716
608510,0.02861502,0.03005157
608511,0.0058180792,0.006308767
608512,0.010729021,0.032573547
608515,0.18019478,0.19513899
608516,0.068512186,0.069268845
608517,0.061135981,0.061572459
608518,0.032956336,0.049439486
608519,0.048948925,0.049343623
608520,0.048003323,0.06814108
608521,0.040870253,0.041223094
608522,0.088270865,0.088853821
608701,0.47219995,0.53576106
608702,0.038251143,0.074410796
608900,0.64997798,0.68738097
609501,0.075286113,0.087464429
609502,0.22358936,0.26932916
609503,0.20531969,0.25612134
